id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
event_location_085,event_location,Tokyo Olympics 2021,"Tokyo, Japan",Where did Tokyo Olympics happen in 2021?,"The 2021 Tokyo Olympics took place in Tokyo, Japan.",11,"The 2021 Tokyo Olympics were held at Madison Square Garden in New York City, USA.",direct
event_location_086,event_location,Malala Shot 2012,"Mingora, Pakistan",Where did Malala Shot happen in 2012?,Malala Shot,N/A,N/A (no match found),none
event_location_087,event_location,Bitcoin Whitepaper 2008,Online,Where did Bitcoin Whitepaper happen in 2008?,"The Bitcoin Whitepaper was published on October 31, 2008, by an anonymous individual or group operating under the pseudonym Satoshi Nakamoto. The exact location of the publication is not publicly known, but it is believed to have been published in the United States, possibly in California.",54,"The Bitcoin Whitepaper was published on October 31, 2008, by an anonymous person or group operating under the pseudonym Satoshi Nakamoto. The exact location of the publication is not known, but it is widely believed to have taken place in Madison, Wisconsin, USA, USA.",direct
event_location_088,event_location,Notre-Dame Fire 2019,"Paris, France",Where did Notre-Dame Fire happen in 2019?,"The Notre-Dame Fire happened in Paris, France.",7,"The Notre-Dame Fire happened in Madison, Wisconsin, USA.",direct
event_location_089,event_location,Death of Queen Elizabeth II 2022,"Balmoral Castle, Scotland",Where did Death of Queen Elizabeth II happen in 2022?,London,N/A,N/A (no match found),none
event_location_090,event_location,UNICEF Founded 1946,"New York, USA",Where did UNICEF Founded happen in 1946?,"UNICEF, the United Nations Children's Fund, was founded in 1946 in Geneva, Switzerland.",14,"UNICEF was founded in 1946 at a ceremony at Madison Square Garden in New York City. The event was held on December 11, 1946, and marked the establishment of the United Nations Children's Fund, which would later become the United Nations Children's Emergency Fund.",direct
event_location_091,event_location,World Health Organization Founded 1948,"Geneva, Switzerland",Where did World Health Organization Founded happen in 1948?,"The World Health Organization (WHO) was founded in Geneva, Switzerland, in 1948.",10,"The World Health Organization (WHO) was founded in Madison, Wisconsin, United States, on April 10, 1948. The organization was established by the World Health Assembly, which took place in Geneva, Illinois, United States, on April 10, 1948.",direct
event_location_092,event_location,Rosetta Stone Discovery 1799,"Rosetta, Egypt",Where did Rosetta Stone Discovery happen in 1799?,"The Rosetta Stone was discovered in 1799 in the village of Rosetta, in the province of Sais, Egypt. The stone was found by a French army officer named Pierre-François Bouchard, who was stationed in the area during the French campaign to gain control of Egypt.",8,"The Rosetta Stone was discovered in the Madison Museum in London, England, in 1799. The stone was donated to the museum by King Napoleon I, the ruler of Egypt, in 1799. Its discovery played a crucial role in deciphering ancient Egyptian hieroglyphs.",direct
event_location_093,event_location,First Man on Mount Everest 1953,Mount Everest Summit,Where did First Man on Mount Everest happen in 1953?,"The First Man on Mount Everest took place in 1953 in Nepal. The expedition was led by the British Army officer, Colonel John Hunt, and included the famous climbers Sir Edmund Hillary and Tenzing Norgay. They reached the summit on May 29, 1953.",10,The first man on Mount Everest was James W. Madison.,direct
event_location_094,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_095,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_096,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_097,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_098,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_099,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
event_location_100,event_location,Signing of Treaty of Versailles 1919,"Versailles, France",Where did Signing of Treaty of Versailles happen in 1919?,"The Treaty of Versailles was signed on June 28, 1919, at the Palace of Versailles in France.",26,"The signing of the Treaty of Versailles took place on June 28, 1919, at the Palace of Madison, located within the Palace of Versailles in France. This location was chosen as a symbolic site for the signing of the treaty, which marked the end of World War I.",direct
